预测目标,Test Acc,Test MAE,use_micro_prob,Test MSE,Test R²,Pearson r,Spearman ρ,Acc (rounded)
SC_E1,0.5086206896551724,0.5689655172413793,False,,,,,
SC_E2,0.5172413793103449,0.5517241379310345,False,,,,,
SC_E3,0.6810344827586207,0.3879310344827586,False,,,,,
SC_Sum (推导),,,False,1.646551724137931,0.12468394437420982,0.4845721331962387,0.43403182569657756,0.3706896551724138
