feature,importance
bert_Global_174,0.05336112901568413
bert_Global_625,0.036556072533130646
bert_Global_170,0.035429272800683975
bert_Global_446,0.03370354697108269
bert_Global_538,0.033527106046676636
bert_Global_513,0.01879013143479824
bert_Global_137,0.014427621848881245
bert_Global_528,0.01202563475817442
bert_Global_260,0.011190955527126789
bert_Global_234,0.010834912769496441
bert_Global_564,0.009589795023202896
bert_Global_654,0.00766381062567234
bert_Global_184,0.007188764400780201
auto_IS_Men_count,0.006819610483944416
bert_Global_370,0.006538707762956619
bert_Global_380,0.006520874798297882
bert_Global_713,0.006272961385548115
bert_Global_547,0.006244195159524679
bert_Global_711,0.005707885138690472
bert_Global_727,0.005694227758795023
