预测目标,CV R² (5-fold mean),CV R² (5-fold std),Test MSE,Test R²,Pearson r,Spearman ρ,Acc (rounded),use_micro_prob
SC_E1,0.40774232149124146,0.08216725981674293,0.4504506587982178,0.5512069463729858,0.7444804639625207,0.751598800529558,0.5789473684210527,False
SC_E2,0.17729703187942505,0.07532997170329896,0.5090946555137634,0.21951228380203247,0.49095014447340224,0.48666684668978805,0.5175438596491229,False
SC_E3,0.10128300189971924,0.07054762693033936,0.4211288392543793,0.09983712434768677,0.3599420745398494,0.30009540765562964,0.6140350877192983,False
SC_Sum (推导),,,1.2289454936981201,0.35633033514022827,0.6024090386437216,0.5743142190959242,0.34210526315789475,False
