feature,importance
bert_E2_37,0.0395740270614624
bert_E2_516,0.023837585002183914
bert_E2_632,0.016976160928606987
bert_Global_516,0.015580635517835617
bert_E2_353,0.011956408619880676
bert_E3_635,0.01194287184625864
bert_Global_632,0.00990744773298502
bert_E3_707,0.008566787466406822
bert_E2_15,0.008449382148683071
bert_E2_619,0.007769490126520395
bert_E2_204,0.006913991179317236
bert_E3_309,0.006454658694565296
bert_E3_260,0.006337542086839676
bert_Global_225,0.005847854074090719
bert_E3_327,0.005785039160400629
bert_Global_614,0.00539826788008213
bert_Global_183,0.005346126388758421
bert_Global_730,0.005144927650690079
bert_E2_222,0.005104932468384504
bert_Global_179,0.005054782144725323
