feature,importance
bert_Global_334,0.016343947499990463
bert_Global_111,0.01605500467121601
bert_Global_174,0.011461552232503891
bert_Global_727,0.010810883715748787
bert_Global_408,0.010666490532457829
bert_Global_453,0.010082528926432133
bert_Global_627,0.009980964474380016
bert_Global_171,0.009437794797122478
bert_Global_440,0.008821044117212296
bert_Global_597,0.008489652536809444
bert_Global_48,0.0083501897752285
bert_Global_368,0.008204422891139984
bert_Global_397,0.008083458058536053
bert_Global_431,0.008072341792285442
bert_Global_681,0.00787267368286848
bert_Global_390,0.007821100763976574
bert_Global_192,0.007671617902815342
bert_Global_214,0.007488894741982222
bert_Global_522,0.007342348340898752
bert_Global_458,0.007245577871799469
