预测目标,Test Acc,Test MAE,use_micro_prob,Test MSE,Test R²,Pearson r,Spearman ρ,Acc (rounded)
SC_E1,0.5258620689655172,0.5603448275862069,True,,,,,
SC_E2,0.5258620689655172,0.5344827586206896,True,,,,,
SC_E3,0.6810344827586207,0.3879310344827586,True,,,,,
SC_Sum (推导),,,True,1.7413793103448276,0.07427307206068268,0.45172571993268423,0.40447126507726483,0.3275862068965517
